City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,San Luis,AR,2022-06-15 12:31:40,-33.295,-66.3356,48.42,44,1,3.65,clear sky,0.0,0.0
1,Bereda,ES,2022-06-15 12:33:32,43.2686,-7.5406,94.53,22,33,1.59,scattered clouds,0.0,0.0
2,Vaini,TO,2022-06-15 12:33:33,-21.2,-175.2,71.76,94,20,4.61,few clouds,0.0,0.0
3,Sinnamary,GF,2022-06-15 12:33:33,5.3833,-52.95,81.39,76,21,10.65,few clouds,0.0,0.0
4,Cape Town,ZA,2022-06-15 12:30:50,-33.9258,18.4232,63.37,62,75,9.22,broken clouds,0.0,0.0
5,Guerrero Negro,MX,2022-06-15 12:33:33,27.9769,-114.0611,60.26,92,1,9.06,clear sky,0.0,0.0
6,Zyryanovsk,KZ,2022-06-15 12:33:34,49.7386,84.2719,65.25,86,100,4.0,overcast clouds,0.0,0.0
7,Rikitea,PF,2022-06-15 12:33:34,-23.1203,-134.9692,72.55,70,72,5.79,broken clouds,0.0,0.0
8,Souillac,MU,2022-06-15 12:33:34,-20.5167,57.5167,73.78,83,75,13.8,light rain,0.0,0.0
9,Bethel,US,2022-06-15 12:33:35,41.3712,-73.414,73.6,70,0,6.91,clear sky,0.0,0.0
10,Jalu,LY,2022-06-15 12:33:35,29.0331,21.5482,93.27,23,0,5.84,clear sky,0.0,0.0
11,Kodiak,US,2022-06-15 12:33:35,57.79,-152.4072,51.31,87,100,6.91,overcast clouds,0.0,0.0
12,Roald,NO,2022-06-15 12:33:35,62.5833,6.1333,64.17,72,75,4.61,broken clouds,0.0,0.0
13,Bredasdorp,ZA,2022-06-15 12:33:36,-34.5322,20.0403,57.18,51,13,8.16,few clouds,0.0,0.0
14,Lorengau,PG,2022-06-15 12:33:36,-2.0226,147.2712,82.04,76,96,8.05,overcast clouds,0.0,0.0
15,Hilo,US,2022-06-15 12:29:59,19.7297,-155.09,72.28,76,75,8.05,broken clouds,0.0,0.0
16,Puerto Ayora,EC,2022-06-15 12:30:21,-0.7393,-90.3518,71.55,92,84,8.01,broken clouds,0.0,0.0
17,Khatanga,RU,2022-06-15 12:33:37,71.9667,102.5,63.39,31,10,12.01,clear sky,0.0,0.0
18,Batagay-Alyta,RU,2022-06-15 12:33:37,67.8006,130.4114,52.7,80,81,9.84,broken clouds,0.0,0.0
19,Atar,MR,2022-06-15 12:33:37,20.5169,-13.0499,103.51,21,6,6.06,clear sky,0.0,0.0
20,Surt,LY,2022-06-15 12:33:38,31.2089,16.5887,79.2,56,0,12.64,clear sky,0.0,0.0
21,Barrow,US,2022-06-15 12:29:54,71.2906,-156.7887,33.82,93,100,9.22,mist,0.0,0.0
22,Alice Springs,AU,2022-06-15 12:29:44,-23.7,133.8833,51.35,62,23,0.0,few clouds,0.0,0.0
23,Carnarvon,AU,2022-06-15 12:33:38,-24.8667,113.6333,69.87,94,100,9.22,light rain,0.0,0.0
24,Jamestown,US,2022-06-15 12:32:36,42.097,-79.2353,73.71,87,33,4.0,scattered clouds,0.0,0.0
25,Walvis Bay,NA,2022-06-15 12:33:38,-22.9575,14.5053,63.09,36,0,10.36,clear sky,0.0,0.0
26,Sioux Lookout,CA,2022-06-15 12:33:39,50.1001,-91.917,62.67,94,75,4.61,broken clouds,0.0,0.0
27,Vardo,NO,2022-06-15 12:33:39,70.3705,31.1107,46.38,81,75,10.36,broken clouds,0.0,0.0
28,Victoria,HK,2022-06-15 12:30:10,22.2855,114.1577,84.38,86,100,5.99,light rain,0.0,0.0
29,Avarua,CK,2022-06-15 12:32:54,-21.2078,-159.775,77.05,78,75,8.05,broken clouds,0.0,0.0
30,Dikson,RU,2022-06-15 12:33:40,73.5069,80.5464,38.61,75,14,6.62,few clouds,0.0,0.0
31,Geraldton,AU,2022-06-15 12:33:40,-28.7667,114.6,61.21,88,75,4.61,broken clouds,0.0,0.0
32,Ribeira Grande,PT,2022-06-15 12:33:40,38.5167,-28.7,68.4,83,40,16.11,scattered clouds,0.0,0.0
