City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
5,Dwarka,IN,84.87,22.2394,68.9678,Hotel Narayan Avezika Comfort
7,Ponta Do Sol,PT,80.71,32.6667,-17.1,Hotel do Campo
10,Neiafu,TO,77.68,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
11,Cockburn Town,TC,84.16,21.4612,-71.1419,Osprey Beach Hotel
15,Vermilion,US,78.62,40.1667,-87.7506,Sparkling Springs Cabin
16,Paka,MY,78.42,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
18,Butaritari,KI,81.32,3.0707,172.7902,Isles Sunset Lodge
27,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
33,Eyl,SO,79.83,7.9803,49.8164,Amiin Hotel
35,Lata,PT,85.5,40.1629,-8.3327,Casa Maquia
36,Manado,ID,75.97,1.487,124.8455,Aryaduta Hotel
39,Kieta,PG,77.9,-6.2167,155.6333,Uruna Bay Retreat
40,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
44,Sao Filipe,CV,75.36,14.8961,-24.4956,Hotel Xaguate
49,Faya,SA,75.72,18.3851,42.4509,املاك خالد الشعشوع
51,Acapulco,MX,83.98,16.8634,-99.8901,HS Hotsson Smart Acapulco
53,Nam Phong,TH,86.02,16.7023,102.8557,Koon Garden Resort
55,Tual,ID,81.99,-5.6667,132.75,Grand Vilia Hotel
58,Port Elizabeth,ZA,75.09,-33.918,25.5701,39 On Nile Guest House
63,Caravelas,BR,76.55,-17.7125,-39.2481,Pousada dos Navegantes
65,Birjand,IR,79.52,32.8663,59.2211,Birjand Tourist Hotel
66,San Francisco,US,83.03,37.7749,-122.4194,Edwardian Hotel
67,Georgetown,MY,78.73,5.4112,100.3354,Cititel Penang
72,Waddan,LY,89.91,29.1614,16.139,محل الشريف محمد العايب
78,Ambulu,ID,75.52,-8.345,113.6058,Hotel Ambulu Jember
83,Acarau,BR,82.76,-2.8856,-40.12,castelo pizzaria
86,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
94,Hobyo,SO,79.54,5.3505,48.5268,Iftin hotel hobyo
101,Taybad,IR,80.2,34.74,60.7756,لی پوش jean center
103,Lorengau,PG,80.46,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Hithadhoo,MV,83.44,-0.6,73.0833,Scoop Guest House
107,Barmer,IN,91.9,25.75,71.3833,Jain Dharamshala
109,Cayenne,GF,84.09,4.9333,-52.3333,Hôtel Le Dronmi
112,Xianyang,CN,78.26,34.3378,108.7026,铁路大厦
113,Bintulu,MY,78.3,3.1667,113.0333,900 Boutique INN
114,Mahibadhoo,MV,82.87,3.7833,72.9667,Omadhoo Inn
115,Totkomlos,HU,80.74,46.4167,20.7333,Szálloda a Komlóhoz
126,Atuona,PF,77.2,-9.8,-139.0333,Villa Enata
131,Dunmore Town,BS,81.81,25.5,-76.65,Coral Sands Hotel
144,Ugoofaaru,MV,83.39,5.6667,73.0,Ungoofaaru Inn
146,Najran,SA,89.56,17.4924,44.1277,محمد هادي ال فطيح
147,Bairiki,KI,80.6,1.3292,172.9752,Tarawa Boutique Hotel
148,Malakal,SS,88.57,9.5334,31.6605,Nile Palace Hotel
151,Ahmadnagar,IN,77.2,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
154,Marrakesh,MA,93.27,31.6315,-8.0083,Les Jardins de La Koutoubia
156,Namatanai,PG,78.53,-3.6667,152.4333,Seagulls Inn Namatani
157,Namibe,AO,75.56,-15.1961,12.1522,Hotel Chik Chik Namibe
164,Mumford,GH,79.21,5.2618,-0.759,Spanish Villa
166,Dingle,PH,78.06,10.9995,122.6711,SEGAYA PROPERTY
171,Watertown,US,78.39,42.3709,-71.1828,16 Washburn Street Watertown MA
174,Sur,OM,89.96,22.5667,59.5289,Sur Plaza Hotel
177,Remedios,CU,88.72,22.4947,-79.5458,Hostal Yunai
180,Bengkulu,ID,75.29,-3.8004,102.2655,Grage Hotel Bengkulu
181,Kampot,KH,80.65,10.6167,104.1833,Two Moons Hotel
187,Gomel,BY,84.18,52.4345,30.9754,Turyst
189,Itoman,JP,77.02,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
190,Zhob,PK,87.31,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
193,Ailigandi,PA,81.88,9.2333,-78.0167,Akwa Reef Lodge
209,Columbia,US,87.48,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
210,Jati,PK,86.59,24.3539,68.2671,Cafe Lala Rehan Restaurant
211,Socorro,US,94.32,31.6546,-106.3033,guarderia imss papalote
214,Basco,PH,84.27,20.4487,121.9702,Nathaniel's Lodge
218,Muisne,EC,78.73,0.6,-80.0333,Quinta Samay
219,Victoria,HK,83.32,22.2855,114.1577,Mini Central
221,Los Angeles,US,87.21,34.0522,-118.2437,Kawada Hotel
223,Gat,IL,94.41,31.61,34.7642,OlusHome
224,Dzilam Gonzalez,MX,92.16,21.2833,-88.9333,posadas
225,Nador,MA,77.25,35.174,-2.9287,Hôtel La Giralda
230,Pundaguitan,PH,83.12,6.3711,126.1689,Leonardo Family Beach House 1
231,Cabo San Lucas,MX,88.61,22.8909,-109.9124,Vista Roof Restaurant
