City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Alofi,NU,2022-06-14 21:37:25,-19.0595,-169.9187,80.49,69,40,11.5,scattered clouds,0.0,0.0
1,Belle Fourche,US,2022-06-14 21:41:18,44.6714,-103.8522,69.31,45,46,13.96,scattered clouds,0.0,0.0
2,Albany,US,2022-06-14 21:44:17,42.6001,-73.9662,81.91,46,13,1.01,few clouds,0.0,0.0
3,Tucuma,BR,2022-06-14 21:45:53,-0.1833,-50.05,75.97,91,87,7.2,overcast clouds,0.0,0.0
4,Sao Filipe,CV,2022-06-14 21:35:58,14.8961,-24.4956,74.52,77,100,12.68,overcast clouds,0.0,0.0
5,Lichinga,MZ,2022-06-14 21:45:54,-13.3128,35.2406,57.29,82,0,4.61,clear sky,0.0,0.0
6,Soyo,AO,2022-06-14 21:45:54,-6.1349,12.3689,73.09,86,16,8.68,few clouds,0.0,0.0
7,Hasaki,JP,2022-06-14 21:32:56,35.7333,140.8333,64.29,85,100,13.62,light rain,0.0,0.0
8,Mataura,NZ,2022-06-14 21:45:54,-46.1927,168.8643,46.47,96,100,9.37,light rain,0.0,0.0
9,Qaanaaq,GL,2022-06-14 21:36:16,77.484,-69.3632,30.51,73,93,1.95,overcast clouds,0.0,0.0
10,Tasiilaq,GL,2022-06-14 21:45:55,65.6145,-37.6368,39.36,91,100,14.54,light rain,0.0,0.0
11,Bluff,NZ,2022-06-14 21:45:55,-46.6,168.3333,46.8,73,100,30.02,overcast clouds,0.0,0.0
12,Hithadhoo,MV,2022-06-14 21:45:55,-0.6,73.0833,82.53,70,47,4.88,scattered clouds,0.0,0.0
13,Ushuaia,AR,2022-06-14 21:45:40,-54.8,-68.3,37.02,88,26,4.83,scattered clouds,0.0,0.0
14,Chuy,UY,2022-06-14 21:37:02,-33.6971,-53.4616,54.21,90,7,6.15,clear sky,0.0,0.0
15,Bredasdorp,ZA,2022-06-14 21:45:56,-34.5322,20.0403,49.01,82,74,7.0,broken clouds,0.0,0.0
16,Cockburn Town,TC,2022-06-14 21:36:27,21.4612,-71.1419,80.62,81,85,19.69,overcast clouds,0.0,0.0
17,Gidam,IN,2022-06-14 21:45:56,18.9833,81.4,76.69,74,87,0.92,overcast clouds,0.0,0.0
18,Mar Del Plata,AR,2022-06-14 21:34:47,-38.0023,-57.5575,56.08,71,0,4.61,clear sky,0.0,0.0
19,Iqaluit,CA,2022-06-14 21:32:41,63.7506,-68.5145,47.93,71,75,5.75,broken clouds,0.0,0.0
